data10, data20, data30, data40, data50, data60, data70, data80, data90, data100
9.327, 38.175, 25.694, 103.424, 102.456, 48.929, 412.251, 448.208, 314.538, 424.982
18.976, 39.216, 18.591, 104.538, 103.597, 49.922, 413.271, 449.449, 315.502, 426.408
42.492, 41.541, 27.615, 106.468, 105.859, 52.104, 415.404, 451.654, 317.510, 428.761
42.479, 15.754, 27.655, 106.414, 46.396, 23.177, 415.388, 451.422, 317.523, 428.759
42.424, 15.736, 27.592, 106.390, 46.488, 23.118, 415.394, 451.368, 317.445, 428.706
42.412, 15.741, 27.527, 106.335, 46.485, 23.089, 415.382, 451.063, 80.854, 428.654
42.403, 10.255, 26.990, 106.318, 46.479, 229.410, 26.504, 451.003, 80.778, 428.635
42.435, 10.296, 9.583, 106.227, 46.472, 229.590, 26.866, 450.717, 80.755, 428.622
42.731, 43.703, 11.091, 106.127, 45.949, 228.623, 26.867, 49.248, 80.687, 428.036
9.838, 43.499, 13.012, 106.678, 45.943, 228.549, 26.839, 48.644, 80.688, 428.008
9.141, 43.474, 41.569, 38.669, 45.917, 228.503, 26.792, 48.378, 80.642, 427.980
7.277, 43.465, 41.578, 38.816, 45.870, 228.500, 11.618, 48.085, 80.564, 427.974
6.152, 43.481, 41.575, 38.810, 63.735, 228.501, 11.658, 47.587, 80.448, 427.939
6.909, 43.427, 41.587, 38.845, 64.227, 228.480, 36.187, 47.391, 148.346, 427.646
37.877, 43.378, 41.581, 94.150, 64.221, 228.470, 35.925, 47.190, 148.425, 427.599
37.857, 43.393, 41.509, 92.040, 64.169, 228.833, 30.259, 47.153, 148.421, 427.736
37.730, 36.259, 41.539, 92.052, 64.155, 228.812, 30.135, 7.888, 148.388, 427.705
37.731, 36.255, 41.544, 92.021, 64.124, 228.260, 30.093, 12.245, 148.395, 5.766
37.803, 36.249, 21.639, 92.003, 64.150, 228.224, 108.683, 12.325, 148.332, 11.562
37.900, 36.235, 21.679, 91.993, 64.050, 228.206, 108.729, 68.428, 148.326, 11.555
8.086, 36.248, 21.683, 92.047, 64.034, 228.199, 108.767, 68.489, 148.302, 10.699
6.518, 36.163, 21.641, 92.057, 64.041, 228.163, 108.741, 68.466, 148.322, 12.058
15.276, 36.139, 23.680, 92.051, 64.016, 228.127, 108.699, 68.402, 148.330, 135.852
15.281, 15.299, 23.708, 92.000, 55.494, 228.102, 108.667, 68.321, 148.315, 135.723
13.107, 15.359, 23.690, 92.208, 55.787, 228.051, 108.707, 68.311, 148.348, 135.154
12.450, 15.354, 23.629, 92.199, 55.785, 228.073, 108.688, 68.271, 148.306, 135.127
20.760, 11.097, 18.764, 92.189, 55.730, 228.051, 108.665, 67.977, 147.560, 131.072
21.273, 10.978, 18.636, 92.220, 55.660, 228.043, 108.639, 67.984, 147.563, 131.000
21.608, 29.938, 18.532, 92.236, 55.650, 228.036, 108.612, 67.927, 147.519, 131.000
9.147, 27.742, 18.113, 92.201, 55.558, 228.007, 108.372, 67.864, 147.527, 130.979
13.910, 27.746, 17.986, 26.427, 55.561, 227.984, 107.703, 65.543, 147.489, 130.923
13.977, 27.842, 17.936, 25.733, 55.525, 227.973, 107.574, 26.047, 147.432, 130.819
9.584, 27.932, 9.867, 25.757, 55.531, 227.966, 107.463, 26.444, 147.367, 130.813
10.547, 54.125, 5.065, 25.858, 69.238, 227.952, 227.802, 26.429, 147.363, 130.741
19.908, 53.272, 40.169, 13.159, 68.657, 227.414, 226.492, 26.400, 146.711, 129.456
17.742, 53.245, 38.733, 78.258, 68.582, 227.338, 226.304, 18.706, 146.696, 129.384
13.248, 52.612, 38.598, 78.312, 68.565, 227.304, 226.140, 164.037, 146.627, 129.351
13.363, 52.600, 38.615, 78.302, 68.539, 227.248, 225.762, 164.133, 146.612, 129.029
9.650, 51.039, 38.609, 78.278, 67.234, 227.045, 223.332, 164.125, 146.654, 128.892
27.706, 50.998, 38.602, 78.267, 67.214, 227.007, 223.331, 164.107, 93.472, 128.834
27.757, 50.939, 38.615, 78.272, 67.172, 226.975, 223.357, 164.453, 93.457, 128.816
27.748, 50.952, 7.151, 78.259, 67.129, 226.946, 223.312, 164.459, 93.545, 128.760
26.758, 50.889, 37.344, 78.257, 67.020, 226.929, 223.286, 164.487, 93.568, 128.732
26.717, 15.269, 37.503, 78.297, 66.986, 226.879, 223.262, 164.478, 93.516, 129.290
26.659, 15.359, 37.493, 78.333, 66.949, 226.863, 223.261, 164.475, 93.504, 27.786
9.089, 15.344, 37.471, 78.585, 66.906, 226.923, 223.226, 164.273, 93.449, 27.182
17.119, 7.061, 37.469, 78.593, 58.974, 226.907, 223.235, 164.201, 93.380, 27.163
16.824, 6.789, 37.472, 78.599, 58.953, 226.884, 223.437, 164.148, 93.322, 7.369
11.908, 7.788, 37.433, 78.594, 58.787, 226.847, 223.413, 163.990, 93.303, 40.853
11.754, 22.420, 5.332, 78.581, 58.802, 226.831, 223.365, 163.900, 93.712, 40.802
8.415, 22.356, 5.466, 10.828, 58.966, 14.907, 223.403, 164.089, 93.796, 40.793
7.035, 22.270, 9.917, 11.343, 58.994, 19.349, 223.369, 164.056, 93.790, 41.052
7.502, 22.185, 6.724, 87.473, 58.979, 19.312, 223.343, 164.169, 93.803, 41.074
6.227, 51.647, 7.835, 87.470, 59.011, 5.867, 223.385, 164.109, 93.806, 41.031
6.597, 51.737, 10.297, 80.292, 32.167, 5.810, 223.614, 163.298, 93.756, 40.852
8.547, 51.698, 10.343, 80.200, 32.158, 25.728, 223.597, 163.224, 94.016, 127.757
12.711, 51.705, 5.339, 80.355, 32.192, 25.641, 223.892, 163.192, 63.153, 127.788
13.502, 51.702, 48.695, 80.341, 32.163, 26.112, 223.907, 163.146, 50.453, 127.754
16.020, 51.699, 48.720, 80.304, 32.139, 26.126, 221.821, 163.107, 50.257, 127.756
15.901, 51.696, 48.694, 80.284, 114.689, 91.056, 221.774, 163.076, 240.209, 127.758
19.789, 51.679, 48.685, 80.263, 114.435, 91.025, 221.706, 163.039, 240.196, 127.733
19.779, 51.681, 48.635, 80.297, 114.273, 90.994, 221.682, 163.000, 240.137, 127.659
19.533, 51.522, 48.347, 92.789, 114.028, 90.752, 221.521, 162.780, 239.814, 127.404
18.041, 28.036, 48.335, 92.701, 113.944, 90.731, 221.533, 162.770, 239.781, 127.385
20.852, 28.037, 48.338, 92.628, 113.903, 90.712, 221.507, 162.689, 239.696, 127.348
11.343, 26.952, 49.872, 91.457, 112.711, 89.380, 220.418, 161.587, 238.508, 126.188
40.503, 26.006, 81.130, 90.372, 111.991, 88.437, 81.221, 291.184, 236.629, 125.403
